16-15-0.0001 | [1.0893252856489541, 1.067247908702795, 1.0382600518240446, 0.9822122782900713, 0.8997596652611443, 0.8114701827367147, 0.7013743892959926, 0.6115460673967997, 0.5356468782908674, 0.4759232331013334, 0.4298054405744525, 0.3882356622080872, 0.3563164491584336, 0.32991845201754916, 0.2921862265338068] | [1.0654749972479685, 1.0543405158179147, 1.0382229992321559, 1.0206046649387905, 1.0006042889186315, 0.9922413195882525, 0.9990724870136806, 0.9889029332569668, 0.9787229912621634, 0.9920956679752895, 0.9861651829310826, 0.9786595353058406, 1.0114824448313031, 1.0185484596661158, 1.0346499494143895]
32-15-0.0001 | [1.0971652272818746, 1.0867915682170701, 1.0762745204179183, 1.0623361266177633, 1.043346137240313, 1.0136885931526405, 0.9827908571215643, 0.935193493573562, 0.8825855516005253, 0.8273632749267247, 0.7657720605532329, 0.7055982886881068, 0.6478435801423115, 0.5941963344380475, 0.5454751835353132] | [1.1187804085867745, 1.1109120982033867, 1.1032908235277448, 1.092779132298061, 1.078280394417899, 1.05909971509661, 1.0359416791370937, 1.008739822251456, 0.9818394473620824, 0.9540497847965785, 0.9301389796393258, 0.9118303758757454, 0.8989522763660975, 0.8847876599856785, 0.880047162941524]
32-25-0.0001 | [1.0972113733706268, 1.086003713676895, 1.073498216919277, 1.0558477450108184, 1.0341338846994483, 1.0062007174975631, 0.968557730273924, 0.9234112786210101, 0.8700764134310294, 0.8019332827001379, 0.7475277308104695, 0.6846148143643919, 0.6242488425710927, 0.5774083522782809, 0.5316903560057931, 0.5004065397856892, 0.4714985906213954, 0.43829441105110056, 0.41087742439214736, 0.3868598345397175, 0.36099722039872323, 0.3495892686256464, 0.3267744999864827, 0.305488240632458, 0.28206503805906874] | [1.1285825831549507, 1.118404565538679, 1.1065804004669189, 1.0929040908813477, 1.0726879324231828, 1.0514654466084072, 1.02988418170384, 1.0026543957846505, 0.9742669224739074, 0.9518001386097499, 0.9283059528895787, 0.9221152986798967, 0.9125696420669556, 0.8988858648708888, 0.8972319066524506, 0.8988412959235055, 0.9036079321588789, 0.9068879263741629, 0.9008677772113255, 0.904302350963865, 0.9114151443753924, 0.92852326972144, 0.9259910574981145, 0.9235216485602515, 0.9461202966315406]
64-15-0.0001 | [1.0989390359408613, 1.0908549951470417, 1.0851234256357387, 1.0776525694391001, 1.0700740461764129, 1.0601860333180082, 1.051631848708443, 1.0371474345525107, 1.0207401438035826, 1.002104475878287, 0.9795897312786268, 0.9531302277592645, 0.9237527645152548, 0.898017910943515, 0.8680099324903626] | [1.0997889041900635, 1.0948282480239868, 1.0900987386703491, 1.0854896306991577, 1.0794990062713623, 1.0720142126083374, 1.0625202655792236, 1.0527409315109253, 1.0427601337432861, 1.0324355363845825, 1.0206786394119263, 1.006544828414917, 0.9934527277946472, 0.9826025366783142, 0.9700871706008911]
32-15-0.01 | [0.6643492128538049, 0.31220631666373516, 0.11563311173324135, 0.054745070571484776, 0.03536746695678195, 0.027118074551116728, 0.016379473547356718, 0.0064290494401601775, 0.003016912090031943, 0.0003532524224019785, 0.0007489535836097986, 0.0007510928326181771, 0.00041787424622495, 0.0003031137136070132, 0.0010223342937525307] | [2.3291944061006817, 2.8411494517499314, 3.32971331349441, 3.7232882073348654, 3.4448086806173834, 6.926007995036032, 5.289247450368878, 5.566760952591929, 6.5631378185037255, 6.367765684281559, 6.373857902901987, 6.5026011566835225, 6.63327925535476, 6.760768767714087, 6.9179726395090775]
32-15-5e-05 | [1.0968039115269979, 1.090012498523878, 1.0830672913703365, 1.0752788657727448, 1.0672383947648865, 1.058355884966643, 1.047399621770002, 1.0348660126976346, 1.0210321046304012, 1.003514421850011, 0.9846197534298551, 0.9633258199346239, 0.9376894095669622, 0.9131479686585026, 0.878731600097988] | [1.0543807165963308, 1.0509872334344046, 1.0476910999843052, 1.0437114289828708, 1.039135844366891, 1.0340603828430175, 1.0291508981159756, 1.0232281327247619, 1.0157398768833705, 1.0084197282791139, 1.0003952809742518, 0.9919220754078456, 0.9843016045434134, 0.9752498694828579, 0.9649887187140328]
32-25-5e-05 | [1.0988945435786592, 1.093886837751969, 1.0881920506988747, 1.0823865254720053, 1.075534851309182, 1.0671043672423433, 1.0579091521276944, 1.0454686005910239, 1.0298211899356566, 1.0139992254367773, 0.9934154382650403, 0.9686976061351057, 0.9467276680296746, 0.918405332599861, 0.8924569071203038, 0.8683681655621183, 0.8307211053544197, 0.8017143009365468, 0.7670960163724595, 0.7438480879949487, 0.7055050374805063, 0.6710313308066216, 0.6489210114962812, 0.607858607561692, 0.5952864830044733] | [1.0640252590179444, 1.0611556189400808, 1.058808514050075, 1.0565619604928154, 1.0539172513144357, 1.0513830661773682, 1.0492209230150495, 1.0473820311682565, 1.0436322399548121, 1.040752250807626, 1.0368005990982057, 1.034393732888358, 1.0290631856237138, 1.028157423223768, 1.0254190376826695, 1.0240230798721313, 1.0210921934672765, 1.0199420520237514, 1.013319834641048, 1.0100476775850569, 1.0062149524688722, 1.0023942794118608, 0.9960993017469134, 0.9918803317206246, 0.9932050125939506]
32-25-0.0005 | [1.065584015155184, 0.9608753656995469, 0.772606835330742, 0.5547489395176155, 0.39213712595511174, 0.2994556816591733, 0.23220734730146933, 0.18915553226851034, 0.1547959186784599, 0.12623564743477364, 0.0966178630789121, 0.08764556961646978, 0.06837737100279849, 0.054233289941929386, 0.04370778871943121, 0.03867025025512861, 0.026890441948089046, 0.026335099631029625, 0.01835675482786652, 0.019671312168888424, 0.015307210091555465, 0.012261957024642523, 0.015237493294736613, 0.00999494006762794, 0.010621388969214066] | [1.05262280021395, 0.9818225485937936, 0.9415412902832031, 0.9647072323731014, 0.9785476199218205, 1.1153732172080448, 1.1654752143791745, 1.2374055487768991, 1.2685110215629851, 1.352655972327505, 1.394764358656747, 1.4682447914566312, 1.4817253960030419, 1.5806555773530688, 1.6164371818304062, 1.6472683387143272, 1.6752952571426118, 1.739797728402274, 1.76647809445858, 1.7889224371739796, 1.8261571986334664, 1.8860189450638636, 1.982743814587593, 1.9890798445258822, 1.9265927216836385]
32-25-0.0002 | [1.089696361016536, 1.0642081820446512, 1.023405605122663, 0.9612338546393574, 0.8715466117513353, 0.7640901275303053, 0.6531937542168991, 0.5536353301310885, 0.48448889903400255, 0.43863694019939586, 0.3711484077184097, 0.3187101155087568, 0.284859383235807, 0.26484288987906085, 0.24101814213006392, 0.2183105936948804, 0.19770218133926393, 0.17746735893297885, 0.16202210645744766, 0.13558527162109596, 0.13358358697614808, 0.12441328962643941, 0.11342280904452005, 0.10908847200697747, 0.08637635133404663] | [1.055424131665911, 1.0421384164265224, 1.0135821512767247, 0.9861841474260603, 0.9616314819880895, 0.9502466286931719, 0.928993124621255, 0.927724804197039, 0.93060816185815, 0.9250535726547241, 0.9678450771740504, 0.9549606561660766, 0.9965430838721139, 1.0316631836550576, 1.0444871153150286, 1.076198491028377, 1.1009443155356815, 1.1444127278668539, 1.1378562416349138, 1.1766691190855845, 1.2044602394104005, 1.2367579170635767, 1.2263873909200942, 1.2584248857838767, 1.2931263991764614]
32-25-0.0001 | [1.0975919533466947, 1.0865507816922837, 1.0738848091899484, 1.05884772349095, 1.0390478621358457, 1.015902380666871, 0.9817707478136256, 0.9425782082737356, 0.8941667097202246, 0.8386002887850222, 0.7751463988552922, 0.7159669984941898, 0.6554821033408677, 0.598119322458903, 0.5617442004922507, 0.512876037756602, 0.46752941245618074, 0.4385158962961556, 0.4058229862779811, 0.39371198458948, 0.35718348112659176, 0.3336515624454056, 0.3227522926054139, 0.3048994334711545, 0.29944010972976687] | [1.0604342869349888, 1.054035472869873, 1.0476398536137173, 1.0398959091731481, 1.0297216006687708, 1.0176724978855678, 1.0060999938419888, 0.9895957061222621, 0.9737856830869402, 0.9657730102539063, 0.9604267869676862, 0.9416562182562692, 0.9306206175259182, 0.9239452379090446, 0.9129406247820173, 0.9186531169073923, 0.9200824958937509, 0.9175396987370082, 0.9234939166477748, 0.9168990765299115, 0.9191586256027222, 0.9321720344679696, 0.9410598593098777, 0.9502337259905679, 0.9644972511700222]
32-15-0.0001 | [1.0918856465298197, 1.0786525522453199, 1.0611961102140122, 1.0419335987256921, 1.0128464895745983, 0.9817522876504539, 0.939389441669851, 0.8937722237213798, 0.8362694247909214, 0.7815221047055894, 0.7240846236546834, 0.6639179920804673, 0.620019755501678, 0.5715324546979821, 0.5186681861462801] | [1.0991237708500454, 1.0893390587397984, 1.0781330108642577, 1.0636836392538889, 1.04468925680433, 1.0254254017557416, 1.0009871261460441, 0.9765549148832049, 0.9508558205195836, 0.9258460606847491, 0.9070543323244368, 0.8913750171661377, 0.8760859404291426, 0.8675986221858434, 0.8526020612035479]
32-20-0.0001 | [1.0932727271232052, 1.0806474391964898, 1.067410415497379, 1.0503899871439173, 1.024315069032752, 0.9979458561841993, 0.9565745184386986, 0.9067812370217365, 0.8570931849272355, 0.7900264346081277, 0.731062894973202, 0.6767780905184538, 0.6375480670859848, 0.5805651293284652, 0.5393657914970232, 0.506040368736654, 0.4739600895107656, 0.4447763900825943, 0.4112504883088927, 0.3895678516747295] | [1.0876280103410993, 1.0836325917925154, 1.0809228454317366, 1.078805238859994, 1.077451195035662, 1.0798026697976248, 1.080537646157401, 1.0881640434265136, 1.0994166714804514, 1.1083950962339129, 1.1190301486424037, 1.1283553498131889, 1.1349191563470022, 1.1220416852406092, 1.1230590173176356, 1.1280015025820052, 1.111928231375558, 1.0883000850677491, 1.0923016480037144, 1.0779055799756732]
32-20-0.0001 | [1.0938691253247468, 1.0834095806315325, 1.0721074767734693, 1.0568150471949922, 1.0386707375015038, 1.0157982076423755, 0.9844482307848723, 0.9462007322173188, 0.8990188441414764, 0.849630940478781, 0.7952383573504461, 0.7351433672766755, 0.6790427458459053, 0.6182623058125593, 0.5634051138076229, 0.5330684673958931, 0.47815625615741897, 0.45170211809268895, 0.4201775434224502, 0.40935657266257464] | [1.0894854273114885, 1.0817853382655553, 1.072861065183367, 1.060948964527675, 1.0477302721568515, 1.0330347878592354, 1.0149336610521589, 0.9966542959213257, 0.9742761867386954, 0.9561148660523551, 0.9443023511341639, 0.9240857464926583, 0.9221211007663181, 0.9098975454057966, 0.9067722005503518, 0.9095537321908134, 0.9105097123554775, 0.9061773504529681, 0.9006048253604344, 0.9061983142580304]
32-20-0.0001 | [1.0971269230911698, 1.0874618830888167, 1.079024380877398, 1.0698209845501443, 1.0537950184034264, 1.037772055985271, 1.016272191033847, 0.9904998238535895, 0.9645264927891718, 0.9287456723227017, 0.8888150666071021, 0.8437692103178605, 0.8022525500560153, 0.765160003779591, 0.72190573370975, 0.6726230768189914, 0.6361375140107196, 0.5869608614755714, 0.5587335147719452, 0.5234687171120574] | [1.0798084020614624, 1.075714990070888, 1.0708522762571062, 1.0642700025013514, 1.057467474256243, 1.0486327069146293, 1.0405458177839007, 1.0309578452791486, 1.0206483176776342, 1.0112726824624199, 1.0021852254867554, 0.9942484668322972, 0.9887584907667978, 0.984992960521153, 0.9804836903299604, 0.9760394641331264, 0.9721839649336679, 0.9683767931801932, 0.9650507620402745, 0.9655996935708182]
32-20-0.0001 | [1.0951098822165226, 1.0862433879271798, 1.077458571696627, 1.0670594526373822, 1.0532359157783397, 1.0369737296864607, 1.0167386333147685, 0.9892582680868066, 0.959449263068213, 0.9201712128044902, 0.8852145744406659, 0.8431639856186466, 0.7953708045724509, 0.7443012358485789, 0.697413162217624, 0.629744115083114, 0.5913457443748695, 0.5528988689616107, 0.5135093039360599, 0.48570440817570343] | [1.1057973861694337, 1.1001159463609969, 1.0923520939690725, 1.0837244374411448, 1.0714390890938894, 1.0555516821997506, 1.0378933038030351, 1.0172991974013192, 0.997445411341531, 0.9727076854024614, 0.9545446821621486, 0.9366608210972377, 0.9214624881744384, 0.9056717770440238, 0.899437073298863, 0.8886408908026558, 0.8863190531730651, 0.8865899665015085, 0.8869514005524771, 0.8856323395456587]
32-20-0.0001 | [1.1035396261491637, 1.0959856534349746, 1.0875068177347598, 1.0786632171575574, 1.0678672970205114, 1.0556337636450062, 1.042284681486047, 1.0250836959783582, 1.0036313514778579, 0.9852045059204102, 0.9537273584932521, 0.9241039049798164, 0.9009328719498455, 0.8572558752004651, 0.8190770482671433, 0.7777424437412317, 0.7469572328139042, 0.6968897617381552, 0.6599459596302198, 0.6311623084372369] | [1.047239133289882, 1.0423024211611067, 1.0364702871867588, 1.0303646462304252, 1.0230529853275845, 1.013703806059701, 1.0065639751298088, 0.99705228635243, 0.9861497282981873, 0.9754121201378959, 0.9647501911435808, 0.9555483068738665, 0.9485237973076956, 0.9386564901896886, 0.929680495602744, 0.9251500299998692, 0.9233723197664533, 0.9209904602595738, 0.9186536533491952, 0.9152277639933994]
32-20-0.0001 | [1.0971801882204801, 1.0897837849630825, 1.08227800493655, 1.0719857084578361, 1.062070978206137, 1.0484926514003587, 1.0331238090128139, 1.0141271197277566, 0.9924320201942887, 0.9652891672175864, 0.9363361401834349, 0.9055293504742609, 0.8725917220115662, 0.8359220195507657, 0.800710960402005, 0.7608269269915594, 0.7286775889603988, 0.6946469471074532, 0.6672920811003533, 0.6400347367576931] | [1.1251559257507324, 1.118182625089373, 1.1105258805411202, 1.1010195527757918, 1.0895133938108172, 1.0768619401114328, 1.0626706906727381, 1.0446633151599338, 1.0230733598981585, 1.0006084714617047, 0.9765824522290911, 0.9531732899802071, 0.9274801867348808, 0.9009039333888462, 0.8805147920336042, 0.8626139913286481, 0.8437920263835362, 0.8315958738327026, 0.8203529936926706, 0.8136100888252258]
